Client Name,Equipment Type,ISI Number,Serial Number,DOM,SWL,Client Ref,Location,Report ID,A Defect,B Defect,C Defect,D Defect,Report Date,Next Inspection Date
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01165,N/A,N/A,2150 KG,S/No: ST13947/4,1000,14506,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01489,N/A,N/A,140 KG,S/No: C15 (M8) 1817,1800,14507,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01382,N/A,N/A,1000 KG,S/No: 087716,1600,14508,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01207,N/A,N/A,2150 KG,S/No: ST13391/2,1100,14509,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01197,N/A,N/A,2000 KG,S/No: AD6GP 1127,1100,14510,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01280,N/A,N/A,140 KG,S/No: C15 (M8) 1322,1300,14511,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01409,N/A,N/A,2000 KG,S/No: 1640,1600,14512,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01469,N/A,N/A,1000 KG,S/No: 003305087,1800,14513,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01417,N/A,N/A,2150 KG,S/No: ST13388/5,1600,14514,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01389,N/A,N/A,1800 KG,C15 (M24) 1621,1600,14515,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01385,N/A,N/A,1000 KG,S/No: 003180752,1600,14516,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01259,N/A,N/A,1000 KG,S/No: 003305111,1300,14517,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01043,N/A,N/A,2000 KG,S/No: 003322187,800,14518,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01270,N/A,N/A,230 KG,C15 (M10) 1312,1300,14519,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01118,N/A,N/A,7000 KG,S/No: VBF20 0919,900,14520,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01293,N/A,N/A,2000 KG,S/No VBC20-1330,1300,14521,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01133,N/A,N/A,1000 KG,S/No: 003305098,1000,14522,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01081,N/A,N/A,2150 KG,S/No: ST13947/1,800,14523,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01436,N/A,N/A,340 KG,S/No: C15 (M12) 1711,1700,14524,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01240,N/A,N/A,2000 KG,S/No: AD6GP 1218,1200,14525,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01156,N/A,N/A,2000 KG,S/No: 1002,1000,14526,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01408,N/A,N/A,2000 KG,S/No: AD6GP 1617,1600,14527,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01438,N/A,N/A,230 KG,S/No: C15 (M10) 1707,1700,14528,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01258,N/A,N/A,1000 KG,S/No: 003305107,1300,14529,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01287,N/A,N/A,7000 KG,S/No VBC20-1325,1300,14530,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01022,N/A,N/A,700 KG,S/No: C15 (M16) 0724,700,14531,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01288,N/A,N/A,2000 KG,S/No VBC20-1326,1300,14532,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01342,N/A,N/A,1000 KG,S/No: 002679653,1500,14533,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01377,N/A,N/A,30cwt / 1500,S/No: 1538,1500,14534,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01387,N/A,N/A,1000 KG,S/No:,1600,14535,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01193,N/A,N/A,230 KG,S/No: C15 (M10) 1105,1100,14536,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01496,N/A,N/A,7000 KG,S/No: 1820,1800,14537,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01039,N/A,N/A,2150 KG,S/No: ST13947/3,700,14538,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01294,N/A,N/A,2000 KG,S/No: 002679703,1400,14539,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01214,N/A,N/A,1000 KG,S/No: 087724,1200,14540,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01322,N/A,N/A,140 KG,S/No: C15 (M8)1402,1400,14541,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01486,N/A,N/A,340 KG,S/No: C15 (M12) 1814,1800,14542,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01353,N/A,N/A,230 KG,S/No: C15 (M10) 1532,1500,14543,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01110,N/A,N/A,230 KG,S/No: C15 (M10) 0904,900,14544,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01536,N/A,N/A,2000 KG,S/No: 1925,1900,14545,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01048,N/A,N/A,1000 KG,S/No: 003305088,800,14546,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01210,N/A,N/A,2000 KG,S/No: 002267577,1200,14547,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01481,N/A,N/A,150 KG,S/No: C15 (M8) 1809,1800,14548,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01249,N/A,N/A,2150 KG,S/No: ST13388/3,1200,14549,None,None,None,None,02/12/2023,02/06/2024
